ID0001,Item1,807,2025-07-05
ID0002,Item2,142,2025-06-07
ID0003,Item3,478,2025-07-22
ID0004,Item4,222,2025-10-25
ID0005,Item5,162,2026-02-13
ID0006,Item6,139,2025-06-03
ID0007,Item7,225,2025-04-19
ID0008,Item8,825,2025-03-08
ID0009,Item9,789,2025-07-23
ID0010,Item10,362,2025-05-21
ID0011,Item11,246,2025-03-27
ID0012,Item12,348,2025-08-03
ID0013,Item13,171,2026-01-04
ID0014,Item14,751,2025-11-24
ID0015,Item15,114,2025-04-05
ID0016,Item16,812,2025-11-28
ID0017,Item17,200,2025-02-28
ID0018,Item18,468,2025-08-08
ID0019,Item19,366,2025-12-30
ID0020,Item20,537,2025-04-29
ID0021,Item21,860,2025-02-26
ID0022,Item22,234,2025-11-15
ID0023,Item23,446,2025-06-08
ID0024,Item24,986,2025-08-09
ID0025,Item25,73,2025-10-20
ID0026,Item26,713,2025-05-20
ID0027,Item27,121,2025-12-12
ID0028,Item28,181,2025-08-11
ID0029,Item29,386,2025-12-21
ID0030,Item30,64,2025-05-11
ID0031,Item31,537,2025-04-26
ID0032,Item32,631,2025-10-02
ID0033,Item33,759,2025-07-18
ID0034,Item34,892,2025-10-26
ID0035,Item35,495,2025-08-07
ID0036,Item36,800,2025-10-06
ID0037,Item37,621,2026-01-18
ID0038,Item38,86,2025-03-08
ID0039,Item39,921,2025-11-30
ID0040,Item40,334,2025-07-13
ID0041,Item41,87,2025-05-01
ID0042,Item42,533,2025-08-04
ID0043,Item43,278,2025-07-05
ID0044,Item44,444,2025-04-15
ID0045,Item45,439,2025-06-10
ID0046,Item46,775,2025-06-07
ID0047,Item47,73,2025-12-01
ID0048,Item48,884,2025-07-16
ID0049,Item49,128,2025-08-20
ID0050,Item50,931,2025-07-21
